status,priority,page_type,category,subcategory,product_name,slug,brand,series,package_weight,price_rub,availability,hero_title,short_description,main_use,materials_compatibility,shore_or_hardness,working_time,cure_time,color,temperature_range,key_benefits,limitations,what_to_send,related_products,faq_1_q,faq_1_a,faq_2_q,faq_2_a,seo_title,seo_description,image_url,source_url,notes
active,1,deep_card,Полиуретаны,Мягкие полиуретаны,Poly 00-40A 10 кг,poly-00-40a-10kg,,Poly,10 кг,,Уточнить наличие,Poly 00-40A — мягкий полиуретан для форм и эластичных отливок,Мягкий двухкомпонентный полиуретан для задач, где важны эластичность, детализация и стабильная заливка.,Формы, эластичные элементы, прототипы, малые серии,"формы, мастер-модели, оснастка",00-40A,,,,,"мягкий;эластичный;подходит для детализации;можно подобрать комплект с разделителем",Не выбирать без проверки для нагрева/нагрузки/контакта с агрессивной средой,"фото изделия;размер;тираж;условия эксплуатации;срок","разделитель;герметик;вакуумная камера;насос",Подойдёт ли для моей формы?,Зависит от мастер-модели и условий работы. Лучше прислать фото и размеры — подберём материал и разделитель.,Нужен ли вакуум?,Для ответственных заливок вакуум снижает количество пузырей и брака.,Poly 00-40A 10 кг — мягкий полиуретан для форм и отливок,Mylco: Poly 00-40A 10 кг для форм и эластичных отливок. Поможем подобрать материал, разделитель и вакуум под задачу.,,kupit-poliuretan-v-moskve/poliuretan-prepolimer-poly-00-40a-10-kg.html,пример строки для эталонной карточки
active,1,deep_card,Силиконы,Силиконы для форм,Силикон для форм под гипс и смолу,silikon-dlya-form-gips-smola,,, , ,Уточнить наличие,Силикон для форм под гипс, смолу, воск и декор,Подбор силикона по твёрдости и типу мастер-модели для форм с хорошей детализацией.,Формы для декора, гипса, смолы, воска,"гипс, смола, воск, мыло, декор",подбирается,,,,,"детализация;гибкость;подбор Shore;совместимость с разделителями",Нужна проверка совместимости с мастер-моделью и разделителем,"фото мастер-модели;размер;материал заливки;тираж;срок","разделитель;герметик;вакуумная камера",Какую твёрдость выбрать?,Зависит от геометрии и поднутрений: чем сложнее форма, тем важнее правильно выбрать Shore.,Можно без вакуума?,Можно для простых задач, но вакуум улучшает качество и снижает пузыри.,Силикон для форм — подбор под гипс, смолу, воск и декор,Mylco поможет подобрать силикон для форм, разделитель и вакуумное оборудование под вашу задачу.,,kupit-silikon-v-moskve/,пример категории/карточки
active,2,short_card,Вакуумное оборудование,Камеры с насосом,Вакуумная камера H250D210 с насосом,vakuumnaya-kamera-h250d210-nasos,,, , ,Уточнить наличие,Вакуумная камера H250D210 с насосом для дегазации,Комплект для удаления пузырей из силиконов, смол и полиуретанов перед заливкой.,Дегазация материалов,"силикон, смола, полиуретан",,,,,,"меньше пузырей;готовый комплект;подходит для мастерской",Подбирать объём камеры под ёмкость и объём заливки,"материал;объём замеса;размер ёмкости;частота использования","силиконы;смолы;полиуретаны;насосы",Зачем нужна камера?,Она помогает убрать воздух из смеси и уменьшить брак при заливке.,Как выбрать объём?,По размеру ёмкости и объёму материала с запасом.,Вакуумная камера H250D210 с насосом — дегазация силиконов и смол,Комплект вакуумной камеры с насосом для дегазации материалов. Подбор под объём и задачу.,,vakuumnaya-kamera-s-nasosom/vakuumnaya-kamera-h250d210-c-nasosom-zsn-1s.html,пример короткой карточки
active,1,deep_card,Эпоксидные смолы,Прозрачные заливки,Эпоксидная смола для прозрачной заливки,epoxy-clear-casting,,,подбирается,,Уточнить наличие,Эпоксидная смола для прозрачных и декоративных заливок,Подбор смолы под толщину слоя, прозрачность, цвет, пузырьки и финиш поверхности.,Прозрачные заливки, декор, столешницы, макеты,"дерево, силиконовые формы, декор, пигменты",подбирается,уточняется,уточняется,прозрачный,,"прозрачность;декоративный эффект;можно подобрать пигменты;подходит для комплектной заявки",Нужна проверка толщины слоя и режима отверждения,"толщина слоя;размер изделия;цвет;требования к прозрачности;срок","пигменты;вакуумная камера;силиконовая форма;разделитель",Как уменьшить пузыри?,Нужны правильное смешивание и при необходимости вакуумная дегазация.,Как выбрать смолу?,По толщине слоя, времени жизни смеси, прозрачности и температурному режиму.,Эпоксидная смола для прозрачной заливки — подбор Mylco,Mylco поможет подобрать эпоксидную смолу, пигменты и вакуум для прозрачных и декоративных заливок.,,epoksidnaya-smola.html,добавлено для портальной витрины
active,1,deep_card,Жидкие пластики,Отливки и прототипы,Жидкий пластик для малых серий и прототипов,liquid-plastic-small-series,,,подбирается,,Уточнить наличие,Жидкий пластик для отливок, прототипов и малых серий,Материал для быстрых отливок, корпусов, макетов и деталей, где важны повторяемость и аккуратная поверхность.,Отливки, корпуса, прототипы, малые серии,"силиконовые формы, мастер-модели, пигменты",подбирается,уточняется,уточняется,белый/нейтральный,,"быстрая отливка;подходит для прототипов;можно красить;связка с производственными услугами Mylco",Проверять нагрузку, температуру и точность посадочных мест,"фото детали;размер;тираж;условия работы;нужен ли прототип","силикон для формы;пигменты;разделитель;мастер-модель Mylco",Можно ли сделать малую серию?,Да, но сначала лучше проверить мастер-модель, форму и тестовую отливку.,Нужна ли мастер-модель?,Если нет мастер-модели или нужна CAD-доработка — можно подключить CAD-доработку, мастер-модель или прототип как услугу Mylco.,Жидкий пластик для малых серий и прототипов — Mylco,Mylco поможет подобрать жидкий пластик, форму и расходники для отливок, прототипов и малых серий.,,zhidkiy-plastik.html,добавлено для портальной витрины
active,2,short_card,Разделители и герметики,Расходники для форм,Разделитель и герметик для формы,release-agent-sealer-kit,,,комплект,,Уточнить наличие,Разделитель и герметик для аккуратной работы с формами,Комплект сопутствующих материалов для снижения риска прилипания, пор и брака при изготовлении формы и отливки.,Расходники для форм и литья,"силикон, полиуретан, смола, мастер-модель",подбирается,,,,,"снижает риск прилипания;помогает сохранить мастер-модель;часть готового комплекта",Совместимость зависит от материала формы и мастер-модели,"материал мастер-модели;материал заливки;тип формы;условия работы","силиконы;полиуретаны;эпоксидные смолы;вакуум",Всегда ли нужен разделитель?,Не всегда, но при сомнении лучше проверить совместимость.,Что выбрать первым?,Сначала определить материал формы и материал заливки.,Разделитель и герметик для форм — подбор Mylco,Mylco поможет подобрать разделитель, герметик и сопутствующие материалы для форм и отливок.,,razdelitelnye-agenty-i-germetiki.html,добавлено для комплектов
active,2,short_card,Аксессуары и пигменты,Цвет и финиш,"Пигменты и добавки для смол, гипса и пластиков",pigments-additives-kit,,,комплект,,Уточнить наличие,Пигменты и добавки для цвета, фактуры и финиша,Подбор пигментов и добавок под материал, цвет, прозрачность, стойкость и декоративный эффект.,Окрашивание и декоративный эффект,"эпоксидная смола, гипс, бетон, пластики",подбирается,,,,,"цвет;фактура;декоративный эффект;комплектность",Нужно проверять совместимость и дозировку,"материал;цвет;прозрачность;объём;образец результата","смолы;гипс;пластики;формы",Можно смешивать любые пигменты?,Нет, совместимость зависит от основы и дозировки.,Можно подобрать цвет?,Да, лучше прислать референс или фото результата.,Пигменты и добавки для смол и пластиков — Mylco,Mylco подберёт пигменты и добавки для эпоксидных смол, гипса, бетона и пластиков.,,dobavki-k-epoksidnoy-smole.html,добавлено для комплектов
active,1,deep_card,Силиконы,Декор и формы,Силикон для декора и малых форм,silicone-decor-small-molds,,,подбирается,,Уточнить наличие,Силикон для декора, свечей, мыла и малых форм,Подбор силикона под маленькие формы, детализацию, поднутрения и материал заливки.,Декор, свечи, мыло, гипс, смола,"гипс, смола, мыло, воск, декор",подбирается,уточняется,уточняется,нейтральный,,"детализация;гибкость;подходит для малых форм;можно собрать комплект",Нужно проверить мастер-модель и совместимость с разделителем,"фото изделия;размер;материал заливки;количество форм;срок","разделитель;герметик;пигменты;вакуум",Какой Shore выбрать?,Зависит от поднутрений и размера формы: пришлите фото и размеры.,Нужен ли разделитель?,Часто да, особенно если мастер-модель пористая или есть риск прилипания.,Силикон для декора и малых форм — подбор Mylco,Mylco подберёт силикон для декора, свечей, мыла, гипса и смолы с расходниками под задачу.,,kupit-silikon-v-moskve/,10-минутный спринт
active,1,deep_card,Вакуумное оборудование,Комплекты дегазации,Вакуумный комплект для смол и силиконов,vacuum-degassing-kit,,,комплект,,Уточнить наличие,Вакуумный комплект для дегазации смол, силиконов и полиуретанов,Подбор камеры, насоса и ёмкости под объём замеса, высоту материала и частоту работы.,Дегазация, снижение пузырей, стабильная заливка,"силикон, эпоксидная смола, полиуретан",,,,,,"меньше пузырей;готовый комплект;подбор по объёму;для мастерской",Камеру нужно выбирать с запасом под ёмкость и вспенивание смеси,"материал;объём замеса;размер ёмкости;частота работы;срок","смолы;силиконы;полиуретаны;насосы",Какой объём камеры нужен?,По ёмкости и объёму смеси с запасом на подъём материала.,Можно без вакуума?,Можно для простых задач, но вакуум снижает брак.,Вакуумный комплект для смол и силиконов — Mylco,Mylco подберёт вакуумную камеру, насос и комплект для дегазации смол, силиконов и полиуретанов.,,vakuumnye-kamery.html,10-минутный спринт
active,1,deep_card,B2B-комплекты,Закупка для мастерской,Комплект материалов для мастерской или юрлица,b2b-workshop-material-kit,,,комплект,,Уточнить наличие,Комплект материалов Mylco для мастерской, студии или юрлица,Сборная заявка для регулярной закупки: материалы, расходники, вакуум, фасовки, счёт и документы.,Закупка для мастерской, студии, лаборатории, производства,"силикон, полиуретан, смолы, пластики, расходники, вакуум",подбирается,,,,,"счёт для юрлица;комплектность;повторяемость;регулярные закупки",Нужно уточнить задачи, объёмы и сроки поставки,"список задач;объёмы;частота закупки;реквизиты;срок","силиконы;полиуретаны;смолы;вакуум;расходники",Можно выставить счёт?,Да, укажите реквизиты и список позиций или задач.,Можно подобрать весь комплект?,Да, Mylco соберёт материал, расходники и оборудование под рабочий процесс.,Комплект материалов для мастерской и юрлица — Mylco,Mylco поможет собрать B2B-комплект материалов, расходников и оборудования для мастерской, студии или лаборатории.,,contact-us.html,10-минутный спринт
